movieId,movieName,nbMentions,year
78639,Criminal,1,2016
78644,Taxi,6,2004
78664,Zeitgeist,1,2007
78665,Resolution,1,2012
78670,They Live,20,1988
78673,I Think I Love My Wife,1,2007
78719,Saturday Night Fever,3,1977
78766,Snow White and the Seven Dwarfs,11,1937
78779,Not Another Happy Ending,15,2013
78799,The In-Laws,1,1979
78801,The Spy Next Door,16,2010
78804,The Shaggy Dog,4,2006
78807,Paparazzi,2,2004
78824,Psycho,2,2008
78854,Looney Tunes Super Stars' Bugs Bunny: Wascally Wabbit,1,
78869,Mom and Dad Save the World,1,1992
78874,Click,136,2006
78887,Saw VI,2,2009
78888,Eraser,7,1996
78925,Dusk to Dawn,1,1922
78926,Once Upon a Time in the West,1,1968
78929,The Adventures of Pinocchio,1,1996
78943,Man-Proof,1,1938
78950,It's a Free World...,1,2007
78958,Norbit,16,2007
78977,The Haunting,10,1999
79001,Outland,4,1981
79045,Thelma ,4,
79062,Alien,134,1979
79072,Bullets over Broadway,1,1994
79106,Raging Bull,10,1980
79114,Uprising,1,2001
79136,Dances with Wolves,26,1990
79142,For a Few Dollars More,3,1965
79153,Oz the Great and Powerful,6,2013
79187,Giant,1,1956
79205,The Wild Geese,2,1978
79206,May,5,2002
79266,Absolutely Anything,14,2015
79278,West Side Story,44,1961
79284,Bitter Harvest,1,2016
79289,The Parent Trap,12,1961
79313,Open Season,1,2006
79320,Contact,14,2009
79341,The Other Sister,3,1999
79370,"The Way, Way Back",1,2013
79379,Chicken Little,2,2005
79385,Night of the Living Dead,31,1968
79401,Anatomy of a Murder,2,1959
79407,Mortal Kombat: Rebirth,2,2010
79408,Kubo and the Two Strings,25,2016
79421,Machete Kills,2,2013
79429,Cannibal! The Musical,3,1993
79439,Wild Thing,1,1987
79451,Predator ,5,
79464,The Tree of Life,1,2011
79468,Dragnet,2,1987
79512,Monster House,1,2006
79543,Air Bud,26,1997
79553,The Disappearance of McKinley Nolan,1,2010
79665,Drag Me to Hell,10,2009
79689,"Greystoke: The Legend of Tarzan, Lord of the Apes",1,1984
79698,The Hurt Locker,37,2008
79707,Fat Albert,2,2004
79743,The Last Boy Scout,13,1991
79750,China,1,2016
79752,8 Heads in a Duffel Bag,17,1997
79755,Bully,1,2001
79779,Gran Torino,29,2008
79811,Homeward Bound II: Lost in San Francisco,7,1996
79815,We're Back! A Dinosaur's Story,1,1993
79824,The Divergent Series: Insurgent,9,2015
79834,The Skeleton Key,12,2005
79851,The Mask,31,1988
79856,The Time Machine,2,2002
79863,The Bible: In the Beginning...,1,1966
79888,Puncture,1,2011
79894,The Debt,2,2010
79924,The Gladiator,4,1986
79935,Fifty Shades of Grey,54,2015
79945,Deranged,1,1974
79954,A Christmas Carol,2,2009
79968,Split,138,2017
79978,Bully,1,2011
79989,Cinderella,4,1994
80009,The Amazing Spider-Man 2,3,2014
80014,Maverick,4,1994
80024,War of the Buttons,1,2011
80038,Lady in White,1,1988
80067,Toy Story,180,1995
80074,Home for Christmas,1,2010
80108,Can't Hardly Wait,11,
80131,Omen,3,2003
80133,Project A,2,1983
80178,Boy Wonder,1,2010
80188,Planes: Fire & Rescue,1,2014
80203,Boat Trip,1,2002
80208,The Devil Wears Prada,38,2006
80213,A Serious Man,1,2009
80235,Jennifer's Body,1,2009
80240,Annie,16,1982
80264,Zinda,3,2006
80284,The Lion King II: Simba's Pride,2,1998
80289,Die ,1,
80306,The Creeper,1,1948
80325,Mission: Impossible ,28,
80336,Annie,7,2014
80429,Under the Shadow,1,2016
80442,Jaws in Japan,1,2009
80446,F,2,2010
80448,Friday After Next,6,2002
80519,A Simple Plan,2,1998
80534,I Am Really Sorry,1,1976
80576,Dragonball Evolution,1,2009
80587,The Handmaiden,2,2016
80598,All's Faire in Love,2,2009
80603,Godzilla: Tokyo S.O.S.,1,2003
80649,Moses,1,1995
80683,The Cat and the Kit,1,1925
80685,Sister Act,8,1992
80691,Wild,8,2016
80699,Anaconda,9,1997
80716,Next of Kin,3,1989
80769,Boiler Room,1,2000
80811,Vengeance,1,1968
80865,Early Man ,15,
80886,"Good Morning, Vietnam",15,1987
80918,The Cave,4,2005
80966,Night Falls on Manhattan,1,1997
80981,The Great Beauty,4,2013
80985,Boo! A Madea Halloween,12,2016
81006,Police Academy ,1,
81024,Third Man on the Mountain,1,1959
81075,We're the Millers,44,2013
81078,Cube 2: Hypercube,1,2002
81080,How to Train Your Dragon 2,6,2014
81087,Holidays,1,2016
81108,X,1,1986
81135,It Comes at Night,52,2017
81162,Friday,71,1995
81165,Date with an Angel,4,1987
81196,The Pacifist,1,1970
81209,Freebie and the Bean,2,1974
81232,Religulous,3,2008
81234,S,12,2012
81265,Them!,3,1954
81296,Movie 43,2,2013
81307,Haunted Rooh,1,2016
81316,Johnny Be Good,3,1988
81317,Waiting for Forever,1,2010
81353,Once Upon a Time in China ,1,
81385,Fargo,71,1996
81415,The Mission,3,1986
81416,The Man in the Moon,1,1991
81432,A Serbian Film,1,2010
81468,Annie,4,1976
81469,The Rise of the Krays,2,2015
81474,Captain Corelli's Mandolin,3,2001
81475,Triangle,3,2009
81492,Dinosaur,10,2000
81530,Black Beauty,1,1971
81559,Lego Marvel Super Heroes: Maximum Overload,1,2013
81563,Batman Returns,2,1992
81568,Flight,1,2012
81617,The Purple Rose of Cairo,3,1985
81625,Expelled from Paradise,1,
81660,13 Going on 30,40,2004
81669,Life,3,2007
81702,Hall Pass,8,
81715,The Importance of Being Earnest,1,2002
81748,"Red Firecracker, Green Firecracker",1,1994
81775,Never Say Die,2,1939
81792,Zootopia,151,
81805,Filth,1,2013
81819,Monster,5,2008
81860,Spirited Away,33,
81865,The Treasure of the Sierra Madre,2,1948
81878,A Quiet Place to Kill,1,1970
81881,Écoute voir,1,1979
81898,The Magnificent Nine,1,
81916,Son of Flubber,1,1963
81919,Miss You Already,1,2015
81968,Rocky Balboa,1,2006
82001,The Prophecy,2,1995
82020,The Killer Inside Me,4,2010
82022,Perfume,1,2001
82029,Ruby Sparks,2,2012
82041,Prancer,1,1989
82075,Cyborg X,2,
82087,Last Days in Vietnam,3,2014
82145,How to Steal a Million,1,1966
82153,Super Size Me,28,2004
82201,Julia's Eyes,1,2010
82233,Top Secret!,1,1984
82284,The Client,7,1994
82321,The Maltese Falcon,8,1941
82330,Wallace & Gromit: The Curse of the Were-Rabbit,6,2005
82346,Into Temptation,1,2009
82353,Memories of Murder,1,2003
82380,The Hidden,1,1987
82417,Wall Street,14,1987
82419,The French Connection,12,1971
82421,Coming Home,1,1978
82430,Devil's Knot,1,2013
82446,Something Wicked This Way Comes,1,1983
82467,New Jersey Drive,1,1995
82473,The Haunting in Connecticut,13,2009
82476,What's Eating Gilbert Grape,20,1993
82484,Jacob and Esau ,1,
82497,MASH,8,1970
82536,Anonymous,1,2011
82537,Conviction,2,2010
82567,Hardcore Henry,12,2015
82569,The Wild Bunch,3,1969
82596,Psycho,2,1998
82602,The Goonies,99,1985
82631,My Super Ex-Girlfriend,2,
82641,The Equalizer,22,2014
82650,Waco: A New Revelation,5,1999
82657,Into the Blue,1,2005
82756,Stuart Little,5,1999
82763,Death Race,20,2008
82766,The Star of Santa Clara,1,1958
82775,When We First Met,8,
82795,A Perfect World,3,1993
82808,Diary of a Wimpy Kid ,1,
82830,Miles Ahead,1,2015
82857,The Last Unicorn,3,1982
82858,Cannibal,3,2006
82871,Day of the Dead,1,1985
82876,Sex and the City 2,2,2010
82893,Cabin in the Sky,1,1943
82894,Frozen,220,2013
82923,Minions,53,2015
82955,Heist,4,2015
82969,The Bear,1,1988
82990,The Overnight,2,2015
83006,Day Watch,3,2006
83057,Scream 4,8,2011
83101,Free Fire,2,2016
83105,The Neon Demon,4,2016
83116,Can-Can,1,1960
83132,Final Destination 5,3,2011
83180,Acts of Worship,1,2001
83192,What Lies Beneath,25,2000
83236,Ninja Scroll,3,1993
83243,The House,1,1983
83274,It Could Happen to You,1,1994
83305,Haunted House,6,2004
83321,Jump,2,1999
83343,The 10th Kingdom,2,
83370,The Ruling Class,2,1972
83388,Sleeping Beauty,4,1959
83389,Ricochet,1,1991
83396,Thief,3,1981
83406,The Purge: Election Year,14,2016
83430,Buffy the Vampire Slayer,5,1992
83436,The Thing,3,2011
83451,All About My Mother,1,1999
83472,A Walk to Remember,109,2002
83489,Over the Edge,1,1979
83539,The Bourne Identity,8,1988
83552,Jumanji,731,2017
83570,Night of Dark Shadows,1,1971
83582,Starcrash,1,1979
83586,The Amityville Horror,25,1979
83617,Kevin Hart: Let Me Explain,2,2013
83624,Harry and the Hendersons,8,1987
83655,Table 19,1,2017
83675,The New Swiss Family Robinson,1,1998
83716,Bananas,1,1971
83749,Five Shaolin Masters,2,1974
83757,Mr. Holland's Opus,3,1995
83766,Primal Fear,27,1996
83775,Showboy,1,2002
83789,Ella Enchanted,14,2004
83790,Europa Report,3,2013
83814,True Grit,23,2010
83853,Spanglish,13,2004
83896,My Big Love,1,2008
83905,The Central Park Five,1,2012
83947,Strange Circus,1,2005
83948,Hancock,31,2008
83951,Steel Magnolias,7,2012
83976,The Magnificent Seven,5,1960
84001,Donnie Darko,43,2001
84003,127 Hours,12,2010
84007,Castaway,23,1986
84009,Speed Racer,1,2008
84026,Sleeping Beauty,1,1995
84028,The Man Who Knew Too Much,3,1956
84036,Hannibal,3,1959
84097,Charlotte's Web,8,2006
84100,Tank,1,1984
84153,Slap Shot,5,1977
84195,Cloverfield ,3,
84201,Hiding Out,1,1987
84248,The City of Lost Children,2,1995
84269,Houseguest,1,1995
84273,Pineapple Express,182,2008
84310,Justice League: Gods and Monsters,1,2015
84332,The Wizard,2,1989
84339,Instructions Not Included,1,2013
84363,Paranormal Activity 2,9,2010
84379,Mickey's Magical Christmas: Snowed in at the House of Mouse,3,
84387,Before I Fall,3,2017
84411,Tunisian Victory,1,
84422,Ghost Rider,6,2007
84434,Heaven & Earth,1,1993
84436,Godfather,1,2007
84456,Girlfight,2,2000
84473,Diva,1,1981
84488,First Kill,3,2001
84517,The Long Voyage Home,1,1940
84524,Smiley,1,2012
84553,Fist of Fury ,1,
84561,Swimfan,2,2002
84571,The Human Centipede 3,1,2015
84597,Alien 2: On Earth,1,1980
84704,The Wedding Game,1,2009
84710,Jobs,3,2013
84766,Flatliners,9,2017
84769,Birdman,14,2014
84772,Solitary Man,1,2009
84779,The Triplets of Belleville,1,2003
84788,Manos: The Hands of Fate,2,1966
84798,Pretty Woman,228,1990
84823,Noel,2,2004
84828,Two Weeks Notice,18,
84831,It,15,1966
84837,Vertigo,23,1958
84839,Dracula 2012,1,2013
84847,The Secret in Their Eyes,3,2009
84853,Shaft,1,2000
84854,Beauty and the Beast,167,2017
84875,The To Do List,1,2013
84903,Futurama: Bender's Big Score,1,
84907,Guys and Dolls,2,1955
84953,Heidi,2,1965
84974,Adventures of Captain Marvel,1,1941
85003,Simon Birch,2,1998
85036,The Matrix,270,1999
85059,The Breadwinner,4,2017
85079,Teenage Mutant Ninja Turtles III,1,1993
85082,The Astronaut's Wife,2,1999
85103,Haunted Mansion,1,1998
85106,The Prisoner,1,2013
85120,The Player,2,1992
85127,Dora,1,2016
85159,Little Nicky,28,2000
85183,The Summit,2,2012
85195,The Great Gilly Hopkins,1,2015
85198,Dahmer,1,2002
85204,When Ladies Meet,1,1933
85258,Because of You,1,1952
85265,Bichhoo,1,2000
85298,K2,2,1991
85301,Patch Adams,19,1998
85303,The Babysitter,2,1995
85414,Big Top Pee-wee,1,1988
85417,The Brave Little Toaster,13,1987
85423,This Is 40,23,2012
85430,The Falls,1,1980
85442,7 Days in Havana,2,2012
85502,A Haunted House,3,2013
85564,The Black Panther,1,1921
85566,Confessions of a Teenage Drama Queen,1,2004
85575,54,1,1998
85577,Fools Rush In,1,1949
85612,The Texas Chain Saw Massacre,41,1974
85637,American Gangster,23,2007
85645,The Judge,4,2014
85648,Into Thin Air: Death on Everest,7,1997
85662,The Mummy,51,2017
85665,I Love You Phillip Morris,4,2009
85668,The Ninth Gate,1,1999
85739,Freddy Got Fingered,4,2001
85748,Escape,1,2012
85750,Due Date,33,
85753,Society,1,1989
85755,Spetters,1,1980
85764,Kick-Ass ,2,
85799,Men,1,1997
85804,The Thriller,1,2010
85811,Rolling Thunder,1,1977
85832,The Mummy Returns,3,2001
85851,Bandits,1,1997
85863,The Rage: Carrie 2,1,1999
85868,Inspector Gadget,3,1999
85875,Harry Potter and the Chamber of Secrets,11,2002
85879,Cliffhanger,11,1993
85908,Sol Goode,3,2001
85925,From the Hip,1,1987
85951,Austin Powers in Goldmember,5,2002
85961,In the Heart of the Sea,10,2015
85963,Backdraft,1,1991
85971,Dragon: The Bruce Lee Story,1,1993
86002,"Love, Rosie",1,2014
86045,Wings,1,1927
86104,The Piano,5,1993
86128,Dragon Tiger Gate,2,2006
86152,Spy Kids,9,2001
86164,Ayn Rand: A Sense of Life,1,1996
86168,Black Sheep,16,1996
86191,Under the Tuscan Sun,8,2003
86222,Nothing like the Holidays,1,2008
86240,Puppets,1,1916
86245,District 9,39,2009
86246,Godfather,29,1991
86268,Dudley Do-Right,1,1999
86272,G.I. Joe: The Rise of Cobra,1,2009
86345,JeruZalem,9,2015
86357,Red Dust,1,2004
86397,Batman Forever,13,1995
86414,Children of the Corn,21,1984
86428,The Departed,88,2006
86438,The Howling,3,1981
86439,The Death of Stalin,3,
86442,American Psycho 2,1,2002
86449,The Net,7,1995
86490,Predators,9,2010
86506,The Jungle Book,3,1994
86536,Indian Summer,1,1993
86569,The Ten Commandments,5,1956
86573,Nanny McPhee,4,2005
86576,Take the Money and Run,3,1969
86619,The World According to Garp,3,1982
86652,Race to Witch Mountain,2,2009
86699,Pain & Gain,5,2013
86728,Thoracocare,2,
86733,Tarzan & Jane,1,2002
86772,Five Children and It,1,2004
86815,Drumline,3,2002
86819,Return of the Living Dead ,1,
86827,Ed,2,1996
86831,Bride of Chucky,17,1998
86837,Smurfs: The Lost Village,4,2017
86838,Finding Kind,1,2011
86841,Death Proof,6,2007
86844,Ninja Over the Great Wall,1,1987
86879,Ruz,1,2009
86889,Spies,1,1943
86912,And Then There Were None,1,1974
86923,A River Runs Through It,6,1992
86927,W,8,2014
86934,The Inn of the Sixth Happiness,4,1958
86940,The Duff,10,2015
86986,Rudolph and Frosty's Christmas in July,2,
86987,Incarnate,1,2016
86995,Legion,3,2010
87017,Love at Sea,2,1965
87033,G.I. Jane,2,1997
87048,It Came from Outer Space,1,1953
87060,Tom and Jerry: The Fast and the Furry,1,
87064,Pets ,3,
87081,Casino Royale ,2,
87084,The Walking Dead,1,1936
87090,Changeling,23,2008
87092,King Kong,3,1933
87094,Hollywood Homicide,1,2003
87114,God's Not Dead 2,1,2016
87115,Pocahontas,18,1995
87132,Black Mask 2: City of Masks,1,2002
87156,Underworld: Awakening,1,2012
87161,The Last Man on Earth,1,1964
87178,Beethoven's 4th,1,2001
87187,Whisper of the Heart,2,
87193,The Sitter,3,2011
87208,Sing!,3,2001
87223,Hotel Transylvania,17,2012
87231,Weekend,1,2011
87249,The Toxic Avenger,3,1984
87270,The Gnome-Mobile,1,1967
87294,Lilo & Stitch,24,
87296,Z movie,1,
87385,Spartan,1,2004
87411,Magnolia,4,1999
87413,Journey 2: The Mysterious Island,4,2012
87451,3 Days to Kill,2,2014
87457,Delivery Man ,3,
87473,Silent Hill: Revelation,2,2012
87476,Rocky,3,1981
87488,The Last Emperor,2,1987
87490,Dr. Strangelove,23,1964
87521,The Great Mouse Detective,2,
87532,Wilson,1,2017
87541,The Night of the Iguana,1,1964
87608,The Temptress,1,1926
87612,The Train,2,2011
87655,Brother Bear,1,
87664,The Time Traveler's Wife,23,2009
87672,The Man in the Iron Mask,2,1998
87674,Broken Flowers,4,2005
87689,Blue Chips,1,1994
87741,Death Racers,1,2008
87745,Ocean's Thirteen,14,2007
87787,Lucas,7,1986
87826,Sunshine Cleaning,2,2008
87864,Miracles from Heaven,7,2016
87867,The Devil's Rejects,25,2005
87886,Raw,5,2016
87891,Mixed Nuts,1,1994
87910,The Chef,4,2012
87927,Carriers,1,2009
87947,Why Did I Get Married%3F,7,2007
87954,One Fine Day,4,1996
87999,I Kill Giants ,4,
88002,National Lampoon's Pledge This!,1,
88006,Just My Luck,1,2006
88029,Tangled,2,2001
88051,Knights of the Round Table,1,1953
88102,Robbery,1,2015
88113,Insidious: Chapter 2,12,2013
88141,Saving Private Ryan,210,1998
88142,The Hours,2,2002
88150,The Warlords,1,2007
88172,It's Kind of a Funny Story,7,2010
88234,The Harvey Girls,1,1946
88257,Dutch,1,1991
88267,True Romance,23,1993
88275,A Nightmare on Elm Street 5: The Dream Child,4,1989
88292,Dawn of the Dead,7,1978
88309,Bull Durham,1,
88393,Scary Movie ,17,
88410,Seven Samurai,1,1954
88412,Brewster's Millions,3,1985
88444,18 Again!,1,1988
88451,The Baby-Sitters Club,1,1995
88463,Orphan,12,2009
88467,Tango & Cash,5,1989
88469,The Phantom of the Opera,1,1925
88484,Underworld: Blood Wars,8,2017
88486,Starman,4,1984
88487,Juno,97,2007
88501,Night of the Comet,1,1984
88526,Snakes on a Plane,12,2006
88597,Black,8,2015
88624,Bride Wars,28,2009
88628,Restrepo,8,2010
88653,Paranormal Activity ,2,
88655,9 to 5,11,1980
88658,Jeepers Creepers 2,5,2003
88661,Sideways,1,2004
88676,The Call,19,2013
88700,Rookie of the Year,7,1993
88703,Eclipse,1,1994
88725,Dior and I,1,2014
88747,Jingle All the Way,10,1996
88751,The Ring,88,2002
88774,Checking Out,1,2005
88826,Way of the Dragon,3,1972
88833,Godzilla vs. Hedorah,1,1971
88849,Love Bite,2,2012
88936,Gamer,5,2009
88957,High Fidelity,8,2000
88960,The Naked Gun,46,
89005,First Kid,2,1996
89034,The Queen of Versailles,3,2012
89085,Balls of Fury,1,2007
89109,Les Misérables,1,1948
89114,Goldfinger,7,1964
89128,"Oh, God! Book II",1,1980
89158,K-9,1,1989
89167,The Machinists,2,2010
89173,Despicable Me 2,14,2013
89174,Pirate's Passage,1,2015
89176,Paul Blart: Mall Cop 2,15,2015
89211,See No Evil 2,1,2014
89213,Jaws ,3,
89235,Meet the Parents,14,2004
89306,Platoon,27,1986
89307,Ghost,14,1990
89313,Prom ,2,
89352,The Pirate Movie,1,1982
89408,Nine Lives,2,2016
89429,Rebecca,4,1963
89486,Anne of Green Gables,4,1985
89501,The Chronicles of Narnia ,23,
89602,The Ugly Truth,6,2009
89631,Alice in Wondertown,1,1991
89659,Underworld: Evolution,3,2006
89668,World War Z ,48,
89669,Football,1,1982
89696,Marry Me,1,1925
89697,Sudden Impact,2,1983
89725,Pitch Perfect 2,28,2015
89770,The Number 23,15,2007
89780,Logan's Run,3,1976
89786,Night Monster,2,1942
89792,The Puppetmaster,1,1993
89811,High Anxiety,3,1977
89815,Artifact,1,2012
89838,The Fountain,11,2006
89839,Ride Along,42,2014
89884,August: Osage County,8,2013
89902,Coronado,1,2003
89907,"The Long, Long Trailer",1,1954
89921,Status Update,1,
89930,The Lovers,1,1994
89954,A Night at the Roxbury,14,1998
89960,S.W.A.T.: Firefight,1,2011
89965,Pippi Longstocking,1,1949
89967,Teen Witch,1,1989
89973,Crooklyn,3,1994
89987,The Blue Lagoon,14,1980
90010,Birdemic: Shock and Terror,2,2008
90026,The Texas Chainsaw Massacre: The Beginning,5,2006
90034,Man with a Movie Camera,1,1929
90076,Ghost Ship,12,2002
90114,The Perfect Storm,10,2000
90120,Doctor Strange,42,2016
90141,My Dog Skip,5,2000
90165,Why Me%3F,1,2015
90181,Chicken Run,1,2000
90203,Piranha,2,1978
90239,She-Devil,3,1989
90248,Jurassic World,61,2015
90253,The Waterboy,104,1998
90272,That Thing You Do!,5,
90332,Along Came a Spider,19,2001
90361,Meet the Parents,4,2010
90370,Cold Prey,1,2006
90371,Fist of Legend,3,1994
90382,Shark Tale,4,
90397,My Baby's Daddy,1,2004
90413,ZomBees,1,2008
90418,Memento Mori,3,1999
90472,Major League,19,1989
90483,Our Idiot Brother,2,2011
90486,Aliens,74,1986
90552,The Lost Boys,22,1987
90582,Princess,1,2006
90583,Father of the Bride Part II,4,1995
90591,Robin Hood: Men in Tights,20,1993
90603,Seventh Son,1,2015
90633,His Girl Friday,3,1940
90675,Dark Shadows,7,2012
90691,Eraserhead,10,1977
90692,Down and Out in Beverly Hills,1,1986
90747,She's All That,19,1999
90750,Kung Fu Panda 3,6,2016
90766,This Is the End,68,2013
90768,Jihad: A Story of the Others,2,2015
90773,Green Room,5,2015
90862,The Odd Life of Timothy Green,1,2012
90883,The Hitchhiker's Guide to the Galaxy ,4,
90921,Paul,13,2011
90950,Avatar,169,2009
90967,Home Alone ,5,
90969,Classified: The Edward Snowden Story,1,
90975,The Score,1,1978
90979,Varsity,1,1928
90998,Airport,2,1979
91015,Another Cinderella Story,2,2008
91025,Exam,4,2009
91026,Wildcat,1,1942
91030,Invaders from Mars,2,1986
91050,The Little Hours,3,
91074,Shutterdulai,2,2016
91076,Teenage Cave Man,2,1958
91087,Pop Star ,1,
91089,The Addams Family,2,1991
91095,Jill Rips,1,2000
91106,Mr. Wonderful,2,1993
91112,Save the Last Dance,17,2001
91140,Truth or Dare,3,2013
91141,The Hunger Games: Mockingjay – Part 2,15,2015
91207,Sweet November,2,2001
91227,Bewitched,1,2005
91243,"Hieronymus Bosch, Touched by the Devil",2,2015
91277,Gattaca,11,1997
91285,The Banger Sisters,1,2002
91293,Casper,10,1995
91313,Blended,118,2014
91327,Cats Don't Dance,3,1997
91332,Pulp Fiction,190,1994
91359,Stalker,1,1979
91366,Seven Brides for Seven Brothers,3,1954
91395,Don't Breathe,36,2016
91457,1941,4,1979
91468,Marley & Me: The Puppy Years,1,
91481,Beverly Hills Cop,34,1984
91494,The Pursuit of Happiness,1,1988
91519,Jane Austen in Manhattan,1,1980
91547,Wreck-It Ralph,47,2012
91552,Poltergeist,23,2015
91563,Black Water,1,2007
91572,An American Crime,2,2007
91583,Surf Ninjas,3,1993
91589,Le Mans,1,1970
