movie,genres
Donnie Darko (2001),"['Fantasy', 'Drama', 'Mystery']"
American Pie 2 (2001),"['Comedy', 'Romance']"
Big Daddy  (1999),"['Comedy', 'Drama']"
A Nightmare on Elm Street 3: Dream Warriors (1987),"['Horror', 'Thriller', 'Fantasy']"
A Nightmare on Elm Street 4: The Dream Master (1988),"['Horror', 'Thriller']"
The Wedding Singer (1998),"['Romance', 'Comedy']"
Hangover (2010),['Comedy']
Hangover  (2014),['Comedy']
Tommy Boy (1995),['Comedy']
X-Men  (2000),"['Adventure', 'Action', 'Science Fiction']"
Man of Steel  (2013),"['Action', 'Adventure', 'Science Fiction']"
The Dark Knight Rises (2012),"['Action', 'Crime', 'Drama', 'Thriller']"
Suicide Squad  (2016),"['Action', 'Adventure', 'Fantasy']"
The Godfather (1972),"['Drama', 'Crime']"
The Lord of the Rings ,"['Adventure', 'Animation', 'Fantasy']"
Big Fish (2003),"['Adventure', 'Fantasy', 'Drama']"
Sisters  (2015),['Comedy']
Step Brothers  (2008),['Comedy']
The Hobbit: An Unexpected Journey (2012),"['Adventure', 'Fantasy', 'Action']"
The Hangover (2009),['Comedy']
John Wick (2014),"['Action', 'Thriller']"
Shooter  (2007),"['Drama', 'Action', 'Thriller']"
Eagle Eye (2008),"['Mystery', 'Thriller', 'Action']"
American Sniper (2014),"['War', 'Action']"
Nocturnal Animals  (2016),"['Drama', 'Thriller']"
A Nightmare on Elm Street  (2010),"['Horror', 'Mystery', 'Thriller']"
Arrival  (2016),"['Drama', 'Science Fiction', 'Mystery']"
Pineapple Express  (2008),"['Action', 'Comedy', 'Crime']"
Rush Hour  (1998),"['Action', 'Comedy', 'Crime']"
Deadpool  (2016),"['Action', 'Adventure', 'Comedy']"
The Blues Brothers  (1980),"['Music', 'Comedy', 'Action', 'Crime']"
Men in Black  (1997),"['Action', 'Adventure', 'Comedy', 'Science Fiction']"
Casablanca  (1942),"['Drama', 'Romance']"
Citizen Kane (1941),"['Mystery', 'Drama']"
Key Largo  (1948),"['Crime', 'Thriller']"
The Night of the Iguana  (1964),"['Drama', 'Romance']"
Grand Hotel  (1932),"['Drama', 'Romance']"
There's Something About Mary (1998),"['Romance', 'Comedy']"
The Holiday (2006),"['Comedy', 'Romance']"
Shallow Hal (2001),"['Comedy', 'Romance']"
Guardians of the Galaxy  (2014),"['Action', 'Science Fiction', 'Adventure']"
Guardians of the Galaxy Vol. 2 (2017),"['Science Fiction', 'Adventure', 'Action']"
Avengers: Age of Ultron (2015),"['Action', 'Adventure', 'Science Fiction']"
Captain America: Civil War (2016),"['Adventure', 'Action', 'Science Fiction']"
Casino  (1995),"['Crime', 'Drama', 'History']"
Goodfellas (1990),"['Drama', 'Crime']"
American Gangster  (2007),"['Drama', 'Crime']"
Godfather  (1991),[]
Scarface  (1983),"['Action', 'Crime', 'Drama']"
Tomb Raider (2018),"['Action', 'Adventure', 'Fantasy']"
Jurassic Park,"['Adventure', 'Science Fiction']"
Raiders of the Lost Ark (1981),"['Adventure', 'Action']"
Aladdin  (1992),"['Animation', 'Family', 'Adventure', 'Fantasy', 'Romance']"
The Lion King (1994),"['Family', 'Animation', 'Drama']"
Beauty and the Beast  (2017),"['Family', 'Fantasy', 'Romance']"
Harry Potter and the Philosopher's Stone  (2001),"['Adventure', 'Fantasy']"
Sleeping Beauty  (2011),"['Drama', 'Romance']"
The Boy  (2016),"['Horror', 'Thriller', 'Mystery']"
Spaceballs (1987),"['Comedy', 'Science Fiction']"
Ever After (1998),"['Horror', 'Fantasy']"
Stardust  (2007),"['Adventure', 'Fantasy', 'Romance', 'Family']"
True Romance (1993),"['Action', 'Crime', 'Romance']"
Love Stinks  (1999),"['Comedy', 'Romance']"
Les Misérables  (2012),"['History', 'Drama']"
Annie  (1982),"['Comedy', 'Drama', 'Family']"
The Phantom of the Opera  (2004),"['Thriller', 'Drama', 'Romance']"
Happy Gilmore (1996),['Comedy']
The Hunger Games  (2012),"['Science Fiction', 'Adventure', 'Fantasy']"
The Hunger Games: Catching Fire (2013),"['Adventure', 'Action', 'Science Fiction']"
Wonder Woman  (2017),"['Action', 'Adventure', 'Fantasy']"
Sky High  (2003),"['Action', 'Adventure', 'Fantasy', 'Drama']"
X-Men: Apocalypse (2016),"['Action', 'Adventure', 'Science Fiction', 'Fantasy']"
Logan  (2017),"['Action', 'Drama', 'Science Fiction']"
The Wizard of Oz  (1939),"['Adventure', 'Fantasy', 'Family']"
The Magnificent Seven  (2016),"['Adventure', 'Action', 'Western']"
The Birds  (1963),['Horror']
Airplane! (1980),['Comedy']
Little Shop of Horrors  (1986),"['Horror', 'Comedy']"
Willy Wonka & the Chocolate Factory (1971),"['Family', 'Fantasy', 'Comedy']"
Anything Goes  (1956),"['Comedy', 'Music']"
Deadpool 2  (2018),"['Action', 'Comedy', 'Adventure']"
Boogie Nights (1997),['Drama']
The Happening  (2008),"['Thriller', 'Science Fiction']"
The Notebook (2013),"['Drama', 'War']"
21 Jump Street  (2012),"['Action', 'Comedy', 'Crime']"
22 Jump Street (2014),"['Crime', 'Comedy', 'Action']"
A Silent Voice  (2016),[]
Pulp Fiction (1994),"['Thriller', 'Crime']"
The Wolf of Wall Street  (2013),"['Crime', 'Drama', 'Comedy']"
American Hustle (2013),"['Drama', 'Crime']"
Memento  (2000),"['Mystery', 'Thriller']"
Black Mass  (2015),"['Drama', 'Crime', 'History']"
The Shawshank Redemption (1994),"['Drama', 'Crime']"
Titanic (2012),"['Drama', 'Romance']"
The Karate Kid (1984),"['Action', 'Family', 'Drama']"
12 Angry Men  (1957),['Drama']
Kiss Kiss Bang Bang (2005),"['Comedy', 'Crime', 'Mystery']"
Seven  (1995),['Documentary']
The Silence of the Lambs  (1991),"['Crime', 'Drama', 'Thriller']"
Spotlight  (2015),"['Drama', 'History']"
Fight Club (1999),['Drama']
Running Scared  (2006),"['Action', 'Crime', 'Drama', 'Thriller']"
Halloween  (1978),"['Horror', 'Thriller']"
Scream  (1996),"['Crime', 'Horror', 'Mystery']"
Get Out (2017),"['Mystery', 'Thriller', 'Horror']"
The Others  (2001),"['Horror', 'Mystery', 'Thriller']"
The Texas Chainsaw Massacre  (2003),['Horror']
Ghostbusters (1984),"['Comedy', 'Fantasy']"
50 First Dates (2004),"['Comedy', 'Romance']"
Jack Reacher  (2012),"['Crime', 'Drama', 'Thriller', 'Action']"
The Shining  (1980),"['Horror', 'Thriller']"
Thor ,"['Adventure', 'Fantasy', 'Action']"
The Pirate Movie (1982),"['Action', 'Comedy', 'Drama', 'Family', 'Music', 'Romance']"
Cruel Intentions (1999),"['Drama', 'Romance']"
Election  (1999),"['Comedy', 'Romance', 'Drama', 'Mystery']"
Fear  (1990),"['Horror', 'Thriller', 'Mystery', 'TV Movie']"
Clueless  (1995),"['Comedy', 'Romance', 'Drama']"
Heathers (1988),"['Comedy', 'Crime']"
Legally Blonde (2001),"['Comedy', 'Romance']"
Encino Man (1992),['Comedy']
I Know What You Did Last Summer (1997),"['Horror', 'Thriller', 'Mystery']"
Blockers (2018),['Comedy']
Seven Psychopaths (2012),"['Comedy', 'Crime']"
Oldboy  (2013),"['Drama', 'Thriller', 'Mystery', 'Action']"
Thor: Ragnarok (2017),"['Action', 'Adventure', 'Science Fiction']"
Superman  (1978),"['Science Fiction', 'Action', 'Adventure']"
Batman  (1989),"['Fantasy', 'Action', 'Crime']"
Vanilla Sky (2001),"['Science Fiction', 'Romance', 'Drama', 'Fantasy', 'Thriller', 'Mystery']"
Being John Malkovich (1999),"['Comedy', 'Drama', 'Fantasy']"
Monster  (2003),"['Crime', 'Drama']"
Valentine's Day  (2010),"['Comedy', 'Romance']"
Flight  (2012),['Drama']
Bridget Jones's Diary  (2001),"['Comedy', 'Romance', 'Drama']"
Maid in Manhattan,"['Comedy', 'Drama', 'Romance']"
The Proposal  (2009),"['Comedy', 'Romance', 'Drama']"
We Are Marshall (2006),"['Drama', 'History']"
The Judge  (2014),['Drama']
A Civil Action  (1998),['Drama']
The Lincoln Lawyer ,"['Crime', 'Drama', 'Thriller']"
I Can Only Imagine (2018),"['Music', 'Drama']"
To Kill a Mockingbird  (1962),['Drama']
Woodlawn  (2015),['Drama']
Talladega Nights: The Ballad of Ricky Bobby (2006),['Comedy']
The House  (2017),['Comedy']
The Dark Tower  (2017),"['Fantasy', 'Action', 'Science Fiction']"
Room  (2015),"['Drama', 'Thriller']"
Manchester by the Sea  (2016),['Drama']
Belly  (1998),"['Crime', 'Drama']"
Good Will Hunting (1997),['Drama']
Gangs of New York (2002),"['Drama', 'History', 'Crime']"
The Rise of the Krays (2015),['Crime']
Casino Royale  (2006),"['Adventure', 'Action', 'Thriller']"
GoldenEye (1995),"['Adventure', 'Action', 'Thriller']"
21  (2008),"['Drama', 'Crime']"
Little Miss Sunshine (2006),"['Comedy', 'Drama']"
Fargo  (1996),"['Crime', 'Drama', 'Thriller']"
"Crouching Tiger, Hidden Dragon (2000)","['Adventure', 'Drama', 'Action', 'Romance']"
National Lampoon's Vacation (1983),"['Comedy', 'Adventure']"
Jurassic World (2015),"['Action', 'Adventure', 'Science Fiction', 'Thriller']"
Jurassic Park  (1993),"['Adventure', 'Science Fiction']"
Me Before You ,"['Drama', 'Romance']"
La La Land  (2016),"['Comedy', 'Drama', 'Romance', 'Music']"
The Fault in Our Stars  (2014),"['Romance', 'Drama']"
Fifty Shades of Grey  (2015),"['Drama', 'Romance', 'Thriller']"
The Post (2017),"['Drama', 'History']"
Seabiscuit  (2003),"['Drama', 'History']"
Neighbors  (2014),['Comedy']
Neighbors 2: Sorority Rising (2016),['Comedy']
Ant-Man and the Wasp (2018),"['Action', 'Adventure', 'Science Fiction']"
The Dark Knight  (2008),"['Drama', 'Action', 'Crime', 'Thriller']"
Isle Of Dogs (2018),"['Adventure', 'Comedy', 'Animation']"
No Country for Old Men  (2007),"['Crime', 'Drama', 'Thriller']"
Scary Movie 2 (2001),['Comedy']
Jaws  (1975),"['Horror', 'Thriller', 'Adventure']"
Last Action Hero (1993),"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']"
Live Free or Die Hard (2007),"['Action', 'Thriller']"
Girls Trip (2017),['Comedy']
The Mask  (1994),"['Romance', 'Comedy', 'Crime', 'Fantasy']"
Down to Earth  (2001),"['Fantasy', 'Comedy', 'Romance']"
I Now Pronounce You Chuck & Larry (2007),"['Comedy', 'Romance']"
The Notebook (2004),"['Romance', 'Drama']"
Old School  (2003),['Comedy']
The Sweetest Thing (2002),"['Romance', 'Comedy']"
15 Park Avenue (2005),"['Drama', 'Romance']"
Jesus Camp (2006),['Documentary']
The Master  (2012),['Drama']
Hauling  (2010),[]
High Fidelity  (2000),"['Drama', 'Comedy', 'Romance', 'Music']"
The Lad (1935),['Comedy']
Lost in Space  (1998),"['Science Fiction', 'Adventure']"
Zootopia,"['Animation', 'Adventure', 'Family', 'Comedy']"
Sing  (2016),"['Animation', 'Comedy', 'Family', 'Music']"
Mr. Deeds (2002),"['Comedy', 'Romance']"
Mr. & Mrs. Smith  (2005),"['Action', 'Comedy', 'Drama', 'Thriller']"
Elf  (2003),"['Comedy', 'Family', 'Fantasy']"
The Wiz  (1978),"['Music', 'Fantasy', 'Adventure']"
The Bodyguard  (1992),"['Action', 'Drama', 'Romance']"
Jingle All the Way (1996),"['Family', 'Comedy', 'Adventure']"
The Commuter  (2017),"['Action', 'Thriller', 'Mystery']"
Freddy vs. Jason (2003),['Horror']
The Mechanic  (2011),"['Action', 'Thriller', 'Crime']"
The Lord of the Rings: The Fellowship of the Ring (2001),"['Adventure', 'Fantasy', 'Action']"
Grease  (1978),"['Romance', 'Comedy']"
Chicago  (2002),"['Comedy', 'Crime', 'Drama']"
Wedding Crashers (2005),"['Comedy', 'Romance']"
Rent  (2005),"['Drama', 'Romance']"
Romeo & Juliet  (2013),"['Romance', 'Drama']"
Bad Moms (2016),['Comedy']
The Sandlot (1993),"['Family', 'Comedy']"
Jerry Maguire (1996),"['Comedy', 'Drama', 'Romance']"
Remember the Titans (2000),['Drama']
The Blind Side  (2009),['Drama']
Rocky (1976),['Drama']
Room  (2005),"['Drama', 'Documentary', 'Horror']"
Saw  (2004),"['Horror', 'Mystery', 'Crime']"
Buried  (2010),"['Drama', 'Thriller', 'Mystery']"
The Bye Bye Man (2017),"['Horror', 'Thriller']"
This Is the End (2013),"['Action', 'Comedy']"
Tropic Thunder (2008),"['Action', 'Comedy', 'Adventure', 'War']"
Meet the Fockers (2004),"['Comedy', 'Romance']"
Jigsaw (2017),"['Horror', 'Mystery', 'Thriller']"
The Devil's Candy (2015),"['Drama', 'Horror', 'Mystery']"
Final Destination  (2000),['Horror']
Amityville Death House (2015),['Horror']
Identity  (2003),"['Mystery', 'Thriller']"
RBG (2018),['Documentary']
Split (2017),"['Horror', 'Thriller']"
Exam  (2009),"['Thriller', 'Mystery']"
Bridesmaids  (2011),"['Comedy', 'Romance']"
Hoodlum  (1997),"['Crime', 'Drama']"
The Departed (2006),"['Drama', 'Thriller', 'Crime']"
Jumanji  (2017),"['Adventure', 'Fantasy', 'Family']"
Daddy's Home 2 (2017),['Comedy']
The Ring  (2002),"['Horror', 'Mystery']"
Wish Upon (2017),"['Horror', 'Thriller', 'Fantasy']"
Fracture  (2007),['Thriller']
10 Cloverfield Lane (2016),"['Thriller', 'Science Fiction', 'Drama', 'Horror']"
The Cloverfield Paradox (2018),"['Horror', 'Science Fiction', 'Action']"
A Bad Moms Christmas (2017),['Comedy']
Scott Pilgrim vs. the World (2010),"['Action', 'Comedy', 'Romance']"
Ghostbusters  (2016),"['Action', 'Fantasy', 'Comedy']"
Superbad  (2007),['Comedy']
Swiss Army Man (2016),"['Comedy', 'Drama', 'Romance', 'Fantasy', 'Adventure']"
Mother! (2017),"['Drama', 'Thriller', 'Horror']"
Despicable Me (2010),"['Family', 'Animation', 'Comedy']"
Despicable Me 2 (2013),"['Animation', 'Comedy', 'Family']"
Despicable Me 3 (2017),"['Action', 'Animation', 'Comedy', 'Family', 'Adventure']"
Minions  (2015),"['Family', 'Animation', 'Adventure', 'Comedy']"
Incredibles 2 (2018),"['Action', 'Adventure', 'Animation', 'Family']"
Christopher Robin (2018),"['Adventure', 'Comedy', 'Family', 'Fantasy']"
Coco  (2017),"['Family', 'Animation', 'Music', 'Adventure']"
The Incredibles (2004),"['Action', 'Adventure', 'Animation', 'Family']"
Game Night (2018),"['Mystery', 'Comedy', 'Crime']"
The Revenant  (2015),"['Western', 'Drama', 'Adventure']"
Baby Driver  (2017),"['Action', 'Crime']"
Hot Fuzz (2007),"['Crime', 'Action', 'Comedy']"
Blade Runner 2049 (2017),"['Science Fiction', 'Drama']"
Jumanji (1995),"['Adventure', 'Fantasy', 'Family']"
Daddy's Home  (2015),['Comedy']
Cast Away (2000),"['Adventure', 'Drama']"
Phantom Thread (2017),"['Drama', 'Romance']"
Lady Bird  (2017),"['Drama', 'Comedy']"
Requiem for a Dream (2000),"['Crime', 'Drama']"
A Beautiful Mind  (2001),"['Drama', 'Romance']"
Saw  (2003),"['Crime', 'Horror', 'Thriller']"
Aliens  (1986),"['Action', 'Thriller', 'Science Fiction']"
Life  (2017),"['Horror', 'Science Fiction', 'Mystery', 'Thriller']"
District 9 (2009),['Science Fiction']
"Three Billboards Outside Ebbing, Missouri (2017)","['Crime', 'Drama']"
Birdman  (2014),['Documentary']
Ready Player One  (2018),"['Adventure', 'Action', 'Science Fiction']"
The Black Panther  (1977),"['Crime', 'Drama', 'Thriller']"
Back to the Future (1985),"['Adventure', 'Comedy', 'Science Fiction']"
Overboard (2018),"['Romance', 'Comedy']"
Night of Terror (1933),"['Horror', 'Mystery']"
Frankenstein  (1931),"['Drama', 'Horror', 'Science Fiction']"
The Green Mile  (1999),"['Fantasy', 'Drama', 'Crime']"
Love Actually (2003),"['Comedy', 'Romance', 'Drama']"
Love Story  (1970),"['Romance', 'Drama']"
The Sound of Music  (1965),"['Drama', 'Family', 'Music', 'Romance']"
Dreamgirls  (2006),"['Drama', 'Music']"
Pitch Perfect (2012),"['Comedy', 'Music', 'Romance']"
Hairspray  (2007),"['Comedy', 'Romance', 'Drama']"
War for the Planet of the Apes (2017),"['Drama', 'Science Fiction', 'War']"
The Big Sick (2017),"['Comedy', 'Drama', 'Romance']"
The Lego Movie (2014),"['Animation', 'Family', 'Adventure', 'Comedy', 'Fantasy']"
Aquaman (2018),"['Action', 'Adventure', 'Fantasy']"
Justice League  (2017),"['Action', 'Adventure', 'Science Fiction']"
The Omen (1976),"['Horror', 'Thriller']"
The Texas Chain Saw Massacre (1974),['Horror']
Don't Breathe (2016),"['Thriller', 'Horror']"
The Babadook (2014),"['Drama', 'Horror']"
The Cabin in the Woods,"['Horror', 'Mystery', 'Thriller']"
Raw  (2016),"['Drama', 'Horror']"
Steel Magnolias (1989),"['Comedy', 'Drama', 'Romance']"
Terms of Endearment (1983),"['Drama', 'Comedy']"
Flicka (2006),"['Family', 'Drama']"
War Horse  (2011),"['War', 'History', 'Drama', 'Adventure']"
Frozen (2013),"['Animation', 'Family', 'Adventure', 'Fantasy']"
Hotel Transylvania 2 (2015),"['Animation', 'Comedy', 'Family', 'Fantasy']"
Safe Haven  (2013),"['Romance', 'Thriller']"
The Lucky One  (2012),"['Drama', 'Romance']"
Titanic  (1997),"['Drama', 'Romance']"
Knocked Up (2007),"['Comedy', 'Romance', 'Drama']"
Moana  (2016),"['Adventure', 'Comedy', 'Family', 'Animation']"
Shrek (2001),"['Animation', 'Comedy', 'Fantasy', 'Adventure', 'Family']"
Hellboy  (2004),"['Fantasy', 'Action']"
The Mummy  (2017),"['Fantasy', 'Thriller', 'Action', 'Adventure', 'Horror']"
Mission: Impossible ,"['Adventure', 'Action', 'Thriller']"
Moulin Rouge! (2001),"['Drama', 'Romance', 'Music']"
Mission: Impossible  (1996),"['Adventure', 'Action', 'Thriller']"
Vacation  (2015),['Comedy']
Death at a Funeral  (2010),['Comedy']
Mad Max: Fury Road (2015),"['Action', 'Adventure', 'Science Fiction']"
Home Alone (1990),"['Comedy', 'Family']"
Rat Race  (2001),"['Adventure', 'Comedy']"
Get Him to the Greek (2010),"['Adventure', 'Comedy', 'Music']"
Clue  (1985),"['Comedy', 'Thriller', 'Crime', 'Mystery']"
Murder on the Orient Express (2017),"['Mystery', 'Drama', 'Crime']"
The Girl with the Dragon Tattoo  (2011),"['Thriller', 'Crime', 'Mystery']"
Sherlock Holmes  (2010),"['Fantasy', 'Horror', 'Action', 'Mystery', 'Science Fiction']"
Shutter Island  (2010),"['Drama', 'Thriller', 'Mystery']"
Gone Girl  (2014),"['Mystery', 'Thriller', 'Drama']"
Maze Runner: The Death Cure (2018),"['Science Fiction', 'Action', 'Adventure', 'Thriller']"
Hitch  (2005),"['Comedy', 'Drama', 'Romance']"
San Andreas  (2015),"['Action', 'Drama', 'Thriller']"
National Lampoon's Christmas Vacation (1989),['Comedy']
Foul Play  (1977),"['Comedy', 'Drama']"
Doctor Strange  (2016),"['Action', 'Adventure', 'Fantasy']"
Winchester (2018),"['Horror', 'Thriller']"
It Follows (2014),"['Horror', 'Mystery']"
Curse of the Blue Lights (1988),['Horror']
Empire of the Ants  (1977),"['Horror', 'Science Fiction']"
Snakes on a Plane (2006),"['Action', 'Crime', 'Thriller', 'Adventure']"
The Good Dinosaur (2015),"['Adventure', 'Animation', 'Family']"
Inside Out  (2015),"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']"
The Boss Baby (2017),"['Animation', 'Comedy', 'Family']"
Cars 2 (2011),"['Animation', 'Family', 'Adventure', 'Comedy']"
Ratatouille  (2007),"['Animation', 'Comedy', 'Family', 'Fantasy']"
Finding Dory (2016),"['Adventure', 'Animation', 'Comedy', 'Family']"
Finding Nemo (2003),"['Animation', 'Family']"
A Bug's Life (1998),"['Family', 'Animation', 'Adventure', 'Comedy']"
Christmas with the Kranks (2004),"['Comedy', 'Family']"
101 Dalmatians II: Patch's London Adventure (2003),"['Family', 'Animation', 'Adventure', 'Comedy']"
Antz (1998),"['Family', 'Animation', 'Adventure', 'Comedy']"
Happy Christmas  (2014),"['Comedy', 'Drama']"
A Far Off Place (1993),"['Drama', 'Adventure']"
A Goofy Movie (1995),"['Romance', 'Animation', 'Family', 'Comedy', 'Adventure']"
A Wrinkle in Time ,"['Adventure', 'Science Fiction', 'Family', 'Fantasy']"
Tarzan  (2013),"['Animation', 'Action', 'Adventure', 'Family']"
Elf-Man (2012),"['Family', 'Comedy']"
Showboy (2002),"['Comedy', 'Documentary']"
Puppets  (1916),"['Fantasy', 'Comedy']"
Once Upon a Time  (2013),"['Drama', 'Fantasy', 'Romance']"
Looper  (2012),"['Action', 'Thriller', 'Science Fiction']"
The Terminator (1984),"['Action', 'Thriller', 'Science Fiction']"
Goosebumps  (2015),"['Adventure', 'Horror', 'Comedy']"
Mary Poppins  (1964),"['Comedy', 'Family', 'Fantasy']"
The Grinch (2018),"['Animation', 'Family', 'Comedy', 'Fantasy']"
Up  (2009),"['Animation', 'Comedy', 'Family', 'Adventure']"
Homecoming  (2009),"['Horror', 'Thriller', 'Drama']"
Funny Things Happen Down Under (1965),"['Family', 'Music']"
Go  (2007),"['Crime', 'Romance']"
Land of the Lost  (2009),"['Adventure', 'Comedy', 'Science Fiction']"
Diary of a Wimpy Kid  (2010),"['Comedy', 'Family']"
Fun with Dick and Jane  (2005),"['Comedy', 'Crime', 'Drama', 'Romance']"
Football  (1982),['Documentary']
Run  (2014),"['Drama', 'Thriller']"
Switching Goals,"['Family', 'TV Movie']"
House  (1995),"['Comedy', 'Drama']"
Breathe  (2009),"['Science Fiction', 'Mystery', 'Thriller']"
Pigeon  (2004),[]
The Boy in the Striped Pyjamas  (2008),"['Drama', 'War', 'History']"
Ho! (1968),"['Action', 'Drama']"
Josette  (1938),"['Comedy', 'Crime', 'Music']"
Revenge of the Nerds (1984),['Comedy']
Jumping for Joy (1956),['Comedy']
Justice  (1993),['Western']
Blood Diamond  (2006),"['Drama', 'Thriller', 'Action']"
Knifer (2010),['Drama']
The Pool Boys (2011),"['Comedy', 'Drama']"
Waterboys  (2001),['Comedy']
Blade Runner (1982),"['Science Fiction', 'Drama', 'Thriller']"
Santa Baby ,"['TV Movie', 'Comedy', 'Family']"
Punch  (2011),['Drama']
Eight Crazy Nights (2002),"['Animation', 'Comedy']"
Jiggs and Maggie in Society (1947),['Comedy']
Dark Sea (2013),"['Horror', 'Thriller']"
Dark Water  (2005),"['Horror', 'Mystery', 'Drama']"
Hellboy II: The Golden Army (2008),"['Fantasy', 'Adventure', 'Action']"
The Lego Batman Movie (2017),"['Animation', 'Action', 'Comedy', 'Family']"
Leatherface  (2017),"['Horror', 'Thriller']"
The Texas Chainsaw Massacre 2 (1986),"['Horror', 'Comedy']"
Cabin Fever  (2000),['Drama']
Scream 2 (1997),"['Horror', 'Mystery']"
Stripes  (1981),"['Action', 'Comedy']"
Beetlejuice (1988),"['Fantasy', 'Comedy']"
Annie  (2014),"['Comedy', 'Drama', 'Family']"
Penguins of Madagascar (2014),"['Family', 'Animation', 'Adventure', 'Comedy']"
The Little Mermaid  (1989),"['Animation', 'Family', 'Fantasy']"
Lady and the Tramp,"['Family', 'Animation', 'Romance']"
Cars  (2006),"['Animation', 'Adventure', 'Comedy', 'Family']"
Star Wars,"['Adventure', 'Action', 'Science Fiction']"
Star Wars  (1977),"['Adventure', 'Action', 'Science Fiction']"
Nutcracker  (1982),['Drama']
What Women Want  (2011),"['Comedy', 'Romance', 'Fantasy']"
"Here Comes the Bride, My Mom! (2010)","['Drama', 'Romance']"
