movie,genres
L.A. Confidential  (1997),"['Crime', 'Mystery', 'Thriller']"
Highlander ,"['Adventure', 'Action', 'Fantasy']"
The Matrix (1999),"['Action', 'Science Fiction']"
The Matrix Revolutions (2003),"['Adventure', 'Action', 'Thriller', 'Science Fiction']"
Blade Runner (1982),"['Science Fiction', 'Drama', 'Thriller']"
Blade Runner 2049 (2017),"['Science Fiction', 'Drama']"
Forces of Nature (1999),"['Romance', 'Comedy']"
Miss Congeniality  (2000),"['Comedy', 'Crime', 'Action']"
Hope Floats (1998),"['Romance', 'Drama', 'Comedy']"
28 Days  (2000),"['Comedy', 'Drama']"
Equilibrium  (2002),"['Action', 'Science Fiction', 'Thriller']"
The Mechanic  (2011),"['Action', 'Thriller', 'Crime']"
The NeverEnding Story  (1984),"['Adventure', 'Fantasy', 'Family', 'Drama']"
Aladdin ,"['Adventure', 'Fantasy', 'Romance', 'Family']"
Frozen  (2007),"['Drama', 'Horror']"
The Lion King (1994),"['Family', 'Animation', 'Drama']"
We Bought a Zoo,"['Drama', 'Comedy', 'Family']"
Star Trek: Nemesis (2002),"['Science Fiction', 'Action', 'Adventure', 'Thriller']"
Ghost in the Shell  (2017),"['Science Fiction', 'Drama', 'Action']"
Gamer  (2009),"['Action', 'Thriller', 'Science Fiction']"
Star Wars: The Force Awakens (2015),"['Adventure', 'Action', 'Science Fiction']"
The Devil's Advocate  (1997),"['Drama', 'Mystery', 'Thriller', 'Horror']"
John Wick (2014),"['Action', 'Thriller']"
The Neon Demon (2016),"['Thriller', 'Horror']"
Keanu  (2016),"['Action', 'Comedy', 'Crime']"
Point Break (1991),"['Action', 'Thriller', 'Crime']"
The Gift  (2000),"['Horror', 'Drama', 'Thriller', 'Mystery']"
Divergent  (2014),"['Action', 'Adventure', 'Science Fiction']"
Commando  (1985),"['Action', 'Adventure', 'Thriller']"
Over the Top  (1987),"['Action', 'Drama']"
Only the Strong  (1993),['Action']
Ace Ventura: Pet Detective (1994),"['Comedy', 'Mystery']"
Hall Pass,"['Comedy', 'Romance']"
Air Force One  (1997),"['Action', 'Thriller']"
Raiders of the Lost Ark (1981),"['Adventure', 'Action']"
Ender's Game  (2013),"['Science Fiction', 'Action', 'Adventure']"
The Devil's Own (1997),"['Crime', 'Thriller', 'Drama']"
Working Girl (1988),"['Comedy', 'Romance', 'Drama']"
Meet Joe Black (1998),"['Fantasy', 'Drama', 'Romance']"
Solace  (2015),"['Thriller', 'Crime', 'Mystery']"
The Elephant Man  (1982),"['Drama', 'TV Movie']"
The Human Stain  (2003),"['Drama', 'Romance']"
Summer of Sam (1999),"['Thriller', 'Drama', 'Crime']"
Memento Mori  (1999),"['Horror', 'Romance', 'Drama']"
Memento  (2000),"['Mystery', 'Thriller']"
Panic Room (2002),"['Crime', 'Drama', 'Thriller']"
Iron Man 2 (2010),"['Adventure', 'Action', 'Science Fiction']"
Closer  (2004),"['Drama', 'Romance']"
Domino  (2005),"['Action', 'Crime']"
Gandhi  (1982),"['Drama', 'History']"
Anywhere but Here  (1999),"['Drama', 'Comedy', 'Romance']"
Sexy Beast (2000),"['Crime', 'Drama', 'Thriller']"
Friday the 13th  (1980),['Horror']
Office Space (1999),['Comedy']
The Stepfather  (1987),"['Horror', 'Thriller']"
Paparazzi  (2004),"['Action', 'Drama', 'Thriller']"
Lords of Dogtown (2005),['Drama']
Zombieland (2009),"['Comedy', 'Horror']"
Inception (2010),"['Action', 'Science Fiction', 'Adventure']"
The Lord of the Rings: The Fellowship of the Ring (2001),"['Adventure', 'Fantasy', 'Action']"
Young Sherlock Holmes (1985),"['Mystery', 'Adventure']"
The Prestige  (2006),"['Drama', 'Mystery', 'Science Fiction']"
Saturday Night Fever (1977),"['Music', 'Drama']"
Apocalypse Now (1979),"['Drama', 'War']"
Full Metal Jacket (1987),"['Drama', 'War']"
The Terminator (1984),"['Action', 'Thriller', 'Science Fiction']"
Total Recall  (1990),"['Action', 'Adventure', 'Science Fiction']"
The Thing from Another World (1951),"['Drama', 'Horror', 'Science Fiction']"
The Exorcism of Emily Rose (2005),"['Crime', 'Drama', 'Horror', 'Thriller']"
The Rite  (2011),"['Drama', 'Thriller', 'Horror']"
Bram Stoker's Dracula (1992),"['Romance', 'Horror']"
Braveheart (1995),"['Action', 'Drama', 'History', 'War']"
Castaway  (1986),"['Adventure', 'Drama']"
Shutter Island  (2010),"['Drama', 'Thriller', 'Mystery']"
No Country for Old Men  (2007),"['Crime', 'Drama', 'Thriller']"
Gladiator  (1992),"['Action', 'Drama']"
Zodiac  (2007),"['Crime', 'Drama', 'Mystery', 'Thriller']"
Cape Fear  (1991),"['Crime', 'Thriller']"
300 Miles to Heaven (1989),['Drama']
300  (2007),"['Action', 'Adventure', 'War']"
Meet the Parents  (2000),"['Comedy', 'Romance']"
Grease  (1978),"['Romance', 'Comedy']"
Godspell  (1973),"['Comedy', 'Family', 'Music']"
The Lord of the Rings ,"['Adventure', 'Animation', 'Fantasy']"
The Lego Batman Movie (2017),"['Animation', 'Action', 'Comedy', 'Family']"
The Parent Trap  (1998),"['Comedy', 'Family', 'Romance']"
Lemony Snicket's A Series of Unfortunate Events (2004),"['Adventure', 'Comedy', 'Family']"
Alice in Wonderland  (2005),"['Family', 'Fantasy', 'Adventure']"
Bill & Ted's Bogus Journey (1991),"['Adventure', 'Comedy', 'Science Fiction']"
Weekend at Bernie's (1989),"['Comedy', 'Crime']"
Wayne's World  (1992),"['Comedy', 'Music']"
Caddyshack II (1988),['Comedy']
Bachelor Party Vegas (2006),['Comedy']
House of 1000 Corpses (2003),"['Horror', 'Comedy']"
Dawn of the Dead  (2004),"['Action', 'Horror', 'Drama']"
The Lords of Salem  (2012),"['Horror', 'Thriller']"
Planet Terror (2007),"['Horror', 'Action', 'Thriller']"
Wolf Creek  (2005),"['Horror', 'Thriller']"
The Babysitter  (2016),['Horror']
Gone Girl  (2014),"['Mystery', 'Thriller', 'Drama']"
Mystic River  (2003),"['Thriller', 'Crime', 'Drama', 'Mystery']"
Footloose  (1984),"['Drama', 'Romance']"
Fiddler on the Roof  (1971),"['Drama', 'Romance']"
Les Misérables  (1948),"['Drama', 'History']"
"Natasha, Pierre & The Great Comet of 1812","['Drama', 'Romance', 'Music']"
The Matrix ,"['Action', 'Science Fiction']"
Jacob's Ladder  (1990),"['Drama', 'Mystery', 'Horror']"
The Hunger Games  (2012),"['Science Fiction', 'Adventure', 'Fantasy']"
King Arthur  (2004),"['Adventure', 'War', 'History', 'Action', 'Drama']"
Excalibur  (1981),"['Adventure', 'Fantasy']"
Dragonheart: A New Beginning (2000),"['Fantasy', 'Action', 'Adventure', 'Comedy']"
Brawl in Cell Block 99,"['Action', 'Crime', 'Thriller']"
Kiss of the Dragon (2001),"['Action', 'Crime', 'Thriller']"
Ong Bak 3 (2010),"['Action', 'Adventure', 'History']"
3 Days of a Blind Girl (1992),['Thriller']
Don't Breathe (2016),"['Thriller', 'Horror']"
Logan  (2017),"['Action', 'Drama', 'Science Fiction']"
Watchmen  (2009),"['Action', 'Mystery', 'Science Fiction']"
The Shawshank Redemption (1994),"['Drama', 'Crime']"
2001: A Space Odyssey ,"['Science Fiction', 'Mystery', 'Adventure']"
Barry Lyndon (1975),"['Drama', 'Romance', 'War']"
An American Werewolf in London (1981),"['Comedy', 'Horror']"
The Exorcist  (1973),"['Horror', 'Thriller', 'Drama']"
Unforgiven (1992),['Western']
Dirty Harry (1971),"['Action', 'Crime', 'Thriller']"
A Fistful of Dollars (1964),['Western']
Predator ,"['Science Fiction', 'Action', 'Adventure', 'Thriller']"
The Graduate (1967),"['Drama', 'Romance', 'Comedy']"
This Is 40 (2012),['Comedy']
Shaun of the Dead (2004),"['Horror', 'Comedy']"
Eight Legged Freaks (2002),"['Action', 'Comedy', 'Horror', 'Thriller']"
This Film Is Not Yet Rated (2006),['Documentary']
Dear Zachary: A Letter to a Son About His Father (2008),"['Documentary', 'Crime']"
Zero Days (2016),['Documentary']
Pervert Park (2014),"['Crime', 'Documentary']"
Religulous (2008),"['Documentary', 'Comedy']"
Split (2017),"['Horror', 'Thriller']"
Close Encounters of the Third Kind (1977),"['Science Fiction', 'Drama']"
Tusk  (2014),"['Comedy', 'Horror']"
Bowling for Columbine (2002),"['Documentary', 'Drama']"
Chloe  (2009),"['Drama', 'Thriller', 'Mystery']"
Wind River  (2017),"['Crime', 'Drama', 'Mystery', 'Thriller']"
Lucy  (2003),"['TV Movie', 'Drama']"
Her  (2013),"['Romance', 'Science Fiction', 'Drama']"
This Is the End (2013),"['Action', 'Comedy']"
Armageddon  (1997),"['Fantasy', 'Action', 'Comedy']"
San Andreas  (2015),"['Action', 'Drama', 'Thriller']"
Saw III (2006),"['Horror', 'Thriller', 'Crime']"
Siren ,['Horror']
Drop Zone  (1994),"['Action', 'Thriller']"
Passenger 57 (1992),"['Action', 'Adventure', 'Thriller']"
Murder at 1600 (1997),"['Action', 'Drama', 'Mystery', 'Thriller', 'Crime']"
Rising Sun  (1993),"['Action', 'Drama', 'Thriller']"
Double Indemnity ,"['Crime', 'Thriller']"
The Maltese Falcon  (1941),"['Mystery', 'Crime', 'Thriller']"
Willow  (1988),"['Action', 'Adventure', 'Fantasy']"
Warcraft  (2016),"['Action', 'Adventure', 'Fantasy']"
Murder on the Orient Express (2017),"['Mystery', 'Drama', 'Crime']"
Underworld: Blood Wars (2017),"['Fantasy', 'Action', 'Thriller', 'Horror']"
Underworld: Rise of the Lycans (2009),"['Fantasy', 'Action', 'Thriller']"
Underworld: Evolution (2006),"['Fantasy', 'Action', 'Thriller']"
The Blair Bitch Project (1999),"['Comedy', 'Horror']"
Blair Witch  (2016),"['Thriller', 'Horror']"
Book of Shadows: Blair Witch 2 (2000),"['Mystery', 'Thriller', 'Horror']"
Insidious  (2011),"['Horror', 'Thriller']"
The Texas Chainsaw Massacre 2 (1986),"['Horror', 'Comedy']"
Child's Play 2 (1990),"['Horror', 'Thriller']"
Lake Mungo  (2008),"['Horror', 'Thriller']"
Underworld  (2003),"['Fantasy', 'Action', 'Thriller']"
The Wolfman  (2010),"['Horror', 'History', 'Drama', 'Thriller']"
National Lampoon's Christmas Vacation (1989),['Comedy']
Home Alone (1990),"['Comedy', 'Family']"
Valerian and the City of a Thousand Planets (2017),"['Adventure', 'Science Fiction', 'Action']"
The Fifth Element,"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']"
Kingsman: The Secret Service (2014),"['Crime', 'Comedy', 'Action', 'Adventure']"
Pirates of the Caribbean: Dead Men Tell No Tales (2017),"['Adventure', 'Action', 'Fantasy']"
Transformers: The Last Knight (2017),"['Action', 'Adventure', 'Science Fiction']"
Kong: Skull Island (2017),"['Action', 'Adventure', 'Fantasy']"
Shin Godzilla (2016),"['Action', 'Science Fiction', 'Horror']"
Dunkirk  (2017),"['War', 'Action', 'Drama']"
Saving Private Ryan (1998),"['Drama', 'History', 'War']"
War Horse  (2011),"['War', 'History', 'Drama', 'Adventure']"
The Book Thief  (2013),['Drama']
It Comes at Night (2017),"['Drama', 'Horror', 'Mystery']"
My Cousin Rachel  (2017),"['Drama', 'Romance']"
Fracture  (2007),['Thriller']
Guardians of the Galaxy Vol. 2 (2017),"['Science Fiction', 'Adventure', 'Action']"
Captain America: Civil War (2016),"['Adventure', 'Action', 'Science Fiction']"
The Life Aquatic with Steve Zissou (2004),"['Adventure', 'Comedy', 'Drama']"
Lost in Translation  (2003),"['Drama', 'Romance']"
Pineapple Express  (2008),"['Action', 'Comedy', 'Crime']"
Krull  (1983),"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
Atonement  (2007),"['Drama', 'Romance']"
Bruce Almighty (2003),"['Fantasy', 'Comedy']"
Old School  (2003),['Comedy']
Dracula Untold (2014),"['Horror', 'Action', 'Fantasy']"
Titanic  (1997),"['Drama', 'Romance']"
City of Gold  (2010),"['Drama', 'Crime']"
City of Men  (2007),['Drama']
Jigsaw (2017),"['Horror', 'Mystery', 'Thriller']"
Neighbors 2: Sorority Rising (2016),['Comedy']
Beasts of No Nation  (2015),"['Drama', 'War']"
Imperial Dreams (2014),['Drama']
Breathe In  (2013),['Drama']
Equals  (2015),"['Drama', 'Romance', 'Science Fiction']"
The Snowman  (2017),"['Crime', 'Thriller']"
Cars 3  (2017),"['Family', 'Animation', 'Adventure', 'Comedy']"
Ghost in the Shell: Stand Alone Complex - Solid State Society (2006),"['Animation', 'Action', 'Thriller', 'Crime', 'Science Fiction']"
Ghost in the Shell  (1995),"['Action', 'Animation', 'Science Fiction']"
Final Fantasy VII: Advent Children,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Science Fiction']"
Kingsglaive: Final Fantasy XV,"['Animation', 'Science Fiction', 'Action']"
Ninja Scroll (1993),"['Fantasy', 'Adventure', 'Animation', 'Action']"
Princess Mononoke (1997),"['Adventure', 'Fantasy', 'Animation']"
Akira  (1988),"['Animation', 'Science Fiction', 'Action']"
Vampire Hunter D: Bloodlust (2001),"['Animation', 'Fantasy', 'Horror', 'Action']"
Appleseed ,"['Crime', 'Animation', 'Science Fiction']"
Vexille,"['Animation', 'Science Fiction']"
Super Size Me (2004),['Documentary']
Catwoman  (2004),"['Action', 'Fantasy', 'Crime']"
Labyrinth  (1986),"['Adventure', 'Family', 'Fantasy']"
Dogtown and Z-Boys (2001),['Documentary']
Jiro Dreams of Sushi (2011),['Documentary']
The Cove  (2009),['Documentary']
13th  (2016),['Documentary']
